win,matchId,p1_team,p1_champ,p1_position,p1_gold_per_min,p1_xp_per_min,p1_cs_per_min,p1_dmg_taken_per_min,p1_gold_10min,p1_cs_10min,p1_xp_10min,p1_kills_10min,p1_deaths_10min,p1_assists_10min,p1_damage_10min,p2_team,p2_champ,p2_position,p2_gold_per_min,p2_xp_per_min,p2_cs_per_min,p2_dmg_taken_per_min,p2_gold_10min,p2_cs_10min,p2_xp_10min,p2_kills_10min,p2_deaths_10min,p2_assists_10min,p2_damage_10min,p3_team,p3_champ,p3_position,p3_gold_per_min,p3_xp_per_min,p3_cs_per_min,p3_dmg_taken_per_min,p3_gold_10min,p3_cs_10min,p3_xp_10min,p3_kills_10min,p3_deaths_10min,p3_assists_10min,p3_damage_10min,p4_team,p4_champ,p4_position,p4_gold_per_min,p4_xp_per_min,p4_cs_per_min,p4_dmg_taken_per_min,p4_gold_10min,p4_cs_10min,p4_xp_10min,p4_kills_10min,p4_deaths_10min,p4_assists_10min,p4_damage_10min,p5_team,p5_champ,p5_position,p5_gold_per_min,p5_xp_per_min,p5_cs_per_min,p5_dmg_taken_per_min,p5_gold_10min,p5_cs_10min,p5_xp_10min,p5_kills_10min,p5_deaths_10min,p5_assists_10min,p5_damage_10min,p6_team,p6_champ,p6_position,p6_gold_per_min,p6_xp_per_min,p6_cs_per_min,p6_dmg_taken_per_min,p6_gold_10min,p6_cs_10min,p6_xp_10min,p6_kills_10min,p6_deaths_10min,p6_assists_10min,p6_damage_10min,p7_team,p7_champ,p7_position,p7_gold_per_min,p7_xp_per_min,p7_cs_per_min,p7_dmg_taken_per_min,p7_gold_10min,p7_cs_10min,p7_xp_10min,p7_kills_10min,p7_deaths_10min,p7_assists_10min,p7_damage_10min,p8_team,p8_champ,p8_position,p8_gold_per_min,p8_xp_per_min,p8_cs_per_min,p8_dmg_taken_per_min,p8_gold_10min,p8_cs_10min,p8_xp_10min,p8_kills_10min,p8_deaths_10min,p8_assists_10min,p8_damage_10min,p9_team,p9_champ,p9_position,p9_gold_per_min,p9_xp_per_min,p9_cs_per_min,p9_dmg_taken_per_min,p9_gold_10min,p9_cs_10min,p9_xp_10min,p9_kills_10min,p9_deaths_10min,p9_assists_10min,p9_damage_10min,p10_team,p10_champ,p10_position,p10_gold_per_min,p10_xp_per_min,p10_cs_per_min,p10_dmg_taken_per_min,p10_gold_10min,p10_cs_10min,p10_xp_10min,p10_kills_10min,p10_deaths_10min,p10_assists_10min,p10_damage_10min,team100_kills_10min,team200_kills_10min,team100_deaths_10min,team200_deaths_10min,kill_diff_10min,kills_100,kills_200,kill_diff,first_blood_team100,jungle_own_100,jungle_enemy_100,jungle_own_200,jungle_enemy_200,jungle_invade_diff,gold_diff_10min,xp_diff_10min
0,NA1_5508783886,100,Malphite,TOP,322.6090680121098,465.68818992018026,6.55434480333171,321.7210193183315,3404,59,4192,2,2,0,2968,100,Kayn,JUNGLE,298.27831984646167,337.6119091381512,6.332300310257346,663.189786078296,3185,57,3039,1,2,0,748,100,Yasuo,MIDDLE,265.50198663697614,464.23834260116746,7.442924546343537,558.092218204568,2890,67,4179,0,2,1,2445,100,Samira,BOTTOM,282.6037535647088,283.05231755173094,6.220985592501282,462.889740270364,3044,56,2548,1,2,1,3266,100,Nami,UTILITY,196.17911368461085,289.9400584837978,1.3330537938250797,336.82414983422507,2266,12,2610,0,1,1,1993,200,Singed,TOP,392.4659615611613,474.22622179313464,8.442633899182944,600.3290627395863,4033,76,4269,3,2,0,4045,200,Jax,JUNGLE,284.2726440658758,368.4862496255468,6.887630026396245,554.1126826047387,3059,62,3317,0,1,1,327,200,Talon,MIDDLE,421.78584673777607,532.771690539133,8.553739465069226,455.12698271140704,4297,77,4796,4,0,1,5986,200,Jinx,BOTTOM,340.81950592296084,341.0457029711401,8.776087568106588,382.6677664922022,3568,79,3070,1,1,1,2415,200,Soraka,UTILITY,260.38825197629313,351.36990144135376,0.9998741082595252,104.18717224129995,2844,9,3163,1,0,3,1871,4,9,9,4,-5,4,9,-5,0,0,0,3,1,-1,-3012,-2047
0,NA1_5507819777,100,Jax,TOP,358.68929159433304,422.1030301656154,4.5536052822966875,769.0121690310168,3729,41,3800,4,2,2,6296,100,Rammus,JUNGLE,287.5693168550011,318.57202520668386,5.220638169622952,567.3227143193692,3089,47,2868,1,1,3,920,100,Ziggs,MIDDLE,312.7000110661332,524.9676718037323,8.553014586271855,370.3995540968113,3315,77,4726,1,0,1,2994,100,Aatrox,BOTTOM,295.45967165583687,315.89721045872807,8.664049932329213,814.4880214927749,3160,78,2844,0,2,1,3440,100,Soraka,UTILITY,265.3431606156942,341.89384443471124,1.3328189228844254,403.34100993065545,2889,12,3078,2,2,1,3334,200,Varus,TOP,372.03964077147594,504.54028663813745,6.442834055584283,663.1151105639692,3849,58,4542,3,4,0,5494,200,Gwen,JUNGLE,315.47533517834205,409.66980481196174,7.997853168248799,787.3902457536317,3340,72,3688,0,1,2,2860,200,Kassadin,MIDDLE,294.03661456137576,490.07882125139673,8.219905109928181,381.29953994197876,3147,74,4412,0,1,1,2568,200,MasterYi,BOTTOM,343.9287332649176,332.9188615798473,5.220712009918491,440.60663030875236,3596,47,2997,3,1,1,4489,200,Riven,UTILITY,297.93654493519574,295.1543413083379,1.7772133390993237,484.35477610817566,3182,16,2657,1,1,3,3134,8,7,7,8,1,8,7,1,1,2,0,0,2,-2,-932,-980
0,NA1_5509371483,100,Camille,TOP,250.79758413133237,489.5995890488192,6.775051719922567,454.18188126925946,2758,61,4408,0,1,1,3869,100,Jayce,JUNGLE,343.3214605797796,382.6295169994182,6.886111102963209,621.4601409469616,3591,62,3445,1,1,1,2528,100,Ashe,MIDDLE,325.55710774261865,487.05706547322876,6.775536345349675,504.6151173328648,3431,61,4385,2,2,0,2563,100,Kaisa,BOTTOM,267.352802283994,296.1181883026869,6.886593899138372,526.4983552046735,2907,62,2666,1,4,0,2820,100,Heimerdinger,UTILITY,227.44475612266487,230.69142287050187,1.888405722559207,453.3772557401274,2548,17,2077,1,4,1,2900,200,Chogath,TOP,268.9793018709119,522.5635894162283,6.441788833351383,704.5879550778742,2922,58,4705,1,1,0,3807,200,DrMundo,JUNGLE,277.6651362114549,383.29002204545236,7.330283631394701,578.7142509457367,3000,66,3451,0,0,0,910,200,KogMaw,MIDDLE,322.20652360048217,502.2448583011122,8.107861503324544,376.4429281174877,3401,73,4522,2,2,0,4024,200,Samira,BOTTOM,593.4075959700517,383.94682608131103,8.99626926862898,521.718649787405,5843,81,3457,9,1,0,7104,200,Rakan,UTILITY,289.6595616940305,318.55267359230584,0.9996687311260044,398.3784252105624,3108,9,2868,0,1,9,2144,5,12,12,5,-7,5,12,-7,0,0,0,2,2,-2,-3039,-2022
1,NA1_5477392577,100,Tryndamere,TOP,263.6643975490053,384.15320613859717,5.4413621822943306,738.8123177050688,2874,49,3459,1,4,1,5025,100,Khazix,JUNGLE,349.1637997634264,401.75136710769857,7.219987877576601,687.095439890127,3644,65,3617,2,1,0,1676,100,Viktor,MIDDLE,305.53896236723944,538.4257628593682,9.551597125857471,279.6762991405067,3251,86,4848,0,0,0,3056,100,MissFortune,BOTTOM,373.5093458554412,371.96474494194587,8.108199651058122,372.7918262633475,3863,73,3349,2,1,0,2653,100,Nautilus,UTILITY,220.78209344046596,290.8752370814938,1.3327043054896908,521.5476526686749,2488,12,2619,0,2,2,3104,200,Sion,TOP,355.2770269596654,446.72119027562087,5.331497043064167,657.750185925544,3699,48,4022,3,2,2,5187,200,RekSai,JUNGLE,334.0796019222684,372.84704588016297,6.77519987164639,569.5574825229546,3508,61,3357,2,0,0,1598,200,Zoe,MIDDLE,252.55827995219488,450.821513380206,7.996721046500743,355.51309096403344,2774,72,4059,0,0,0,1655,200,Caitlyn,BOTTOM,318.7025138598126,337.17808865859337,7.886053474104241,375.0052610621504,3370,71,3036,1,1,1,3736,200,Sona,UTILITY,254.1624852519832,309.1930581829639,0.7775982016786733,348.55688844802944,2789,7,2784,2,2,1,2112,5,8,8,5,-3,5,8,-3,1,1,2,0,0,2,-20,634
1,NA1_5509252982,100,Veigar,,527.682902447505,888.7444928806974,0.0,761.4642485153046,4750,0,10000,3,2,6,9091,200,Seraphine,,444.3583641683838,888.7444928806974,0.0,1073.627672684933,4000,0,10000,1,4,3,9211,200,MissFortune,,444.3583641683838,888.7444928806974,0.0,1250.371913659379,4000,0,10000,4,3,1,8803,100,Katarina,,527.682902447505,888.7444928806974,0.0,728.9681356789537,4750,0,10000,6,2,3,13707,100,Gangplank,,458.5838614058344,888.7444928806974,0.0,1159.831631323907,4128,0,10000,1,3,4,13324,200,Ambessa,,388.8166939686806,888.7444928806974,0.0,1154.0653690724903,3500,0,10000,0,5,0,6896,200,Aatrox,,388.8166939686806,888.7444928806974,0.0,1941.6260285305725,3500,0,10000,0,5,0,3737,100,Morgana,,456.5846956516891,1222.0667154732776,0.0,878.7631722004573,4110,0,13000,1,2,4,6987,100,Kaisa,,456.5846956516891,888.7444928806974,0.0,1225.8127335233278,4110,0,10000,4,3,1,11716,200,Qiyana,,511.0263716682369,888.7444928806974,0.0,903.4194036909917,4600,0,10000,4,4,0,11072,15,9,12,21,6,15,9,6,0,0,0,0,0,0,2248,3000
1,NA1_5491997801,100,Darius,TOP,208.0398511861035,430.7437959787023,4.998471056362352,770.0812908276259,2373,45,3878,0,3,0,3715,100,Zaahen,JUNGLE,387.5321669167875,426.4883737563533,7.441056127744016,507.4606091636836,3989,67,3840,3,0,0,1202,100,Sylas,MIDDLE,295.4535590442576,543.5820421886958,7.108573671800993,689.6817611471218,3160,64,4894,1,1,0,6668,100,Yunara,BOTTOM,299.0097593794722,336.98841243119,6.997325731868494,419.83904412154,3192,63,3034,1,1,1,3203,100,Senna,UTILITY,252.80441342888832,332.20694212757877,1.8880338953344291,484.7095059546126,2776,17,2991,0,1,4,2647,200,Jayce,TOP,370.6351148811366,531.606915049883,9.10833099449043,558.9314737024296,3837,82,4786,2,0,1,6057,200,Nocturne,JUNGLE,357.4256076999012,450.37631996038624,8.218510037113653,588.7912953254685,3718,74,4055,2,0,0,2112,200,Udyr,MIDDLE,254.25110180347212,503.9282610215618,6.108969746655935,772.8695734689519,2789,55,4537,0,1,1,2814,200,Zeri,BOTTOM,343.2104260106669,355.4259772470446,9.66275257818489,389.3222708851166,3590,87,3200,0,1,2,3860,200,Lulu,UTILITY,245.9234563159824,291.9866143440333,1.1107741832345615,501.7245745601991,2714,10,2629,2,3,0,4050,5,6,6,5,-1,5,6,-1,0,0,0,0,0,0,-1158,-570
1,NA1_5503472128,100,Yasuo,,510.9127665971152,888.6445334185672,0.0,1024.5836888292113,4600,0,10000,6,2,1,12184,100,DrMundo,,510.9202629179571,888.6445334185672,0.0,1832.6193245674049,4600,0,10000,2,3,3,8998,100,Maokai,,472.03526252910706,888.6445334185672,0.0,1498.174976099538,4250,0,10000,0,4,4,10136,100,Ambessa,,527.5810984311315,888.6445334185672,0.0,874.9185200266335,4750,0,10000,9,0,1,13923,200,MissFortune,,510.9127665971152,888.6445334185672,0.0,1171.8234057297927,4600,0,10000,5,3,1,13332,200,Camille,,483.14285612764394,888.6445334185672,0.0,1183.1867161724806,4350,0,10000,4,3,3,8824,200,Azir,,483.14285612764394,888.6445334185672,0.0,1107.8669341727082,4350,0,10000,3,2,4,11977,100,FiddleSticks,,527.5810984311315,888.6445334185672,0.0,1127.4008042836351,4750,0,10000,2,2,7,13583,200,Twitch,,499.8060981533815,888.6445334185672,0.0,950.5259785095991,4500,0,10000,1,4,4,10726,100,Vi,,513.6908216252289,888.6445334185672,0.0,1090.3271925969634,4625,0,10000,2,2,5,10799,21,13,13,12,8,21,13,8,1,0,0,0,0,0,9775,20000
0,NA1_5508370393,100,Volibear,TOP,51.95126476591007,0.0,0.0,1044.591502257406,528,0,0,0,0,0,334,100,Karthus,JUNGLE,42.674253200568984,0.0,0.0,463.03172737955344,523,0,0,0,0,0,0,100,Yone,MIDDLE,116.89034572329766,345.1048302306883,3.710804626136434,718.4866720267178,563,2,186,0,0,0,331,100,Jinx,BOTTOM,42.674253200568984,0.0,0.0,231.7754035500031,523,0,0,0,0,0,63,100,Sona,UTILITY,48.24046013977364,0.0,0.0,0.0,526,0,0,0,0,0,0,200,Trundle,TOP,42.674253200568984,115.03494341022945,0.0,838.641845506834,523,0,62,0,0,0,484,200,Graves,JUNGLE,42.674253200568984,0.0,0.0,263.76850763807283,523,0,0,0,0,0,0,200,Anivia,MIDDLE,153.998391984662,345.1048302306883,5.56620693920465,684.643453522172,583,3,186,0,0,0,339,200,Aphelios,BOTTOM,79.78229946193332,74.21609252272867,1.855402313068217,853.4850640113798,543,1,40,0,0,0,58,200,Janna,UTILITY,85.34850640113797,189.2510359329581,0.0,0.0,546,0,102,0,0,0,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-55,-204
0,NA1_5510498018,100,Renekton,TOP,302.53974985108243,492.45208219772877,6.552550823995421,733.530147353255,3224,59,4434,1,3,0,4258,100,Nunu,JUNGLE,348.6283612915632,326.874877423534,5.775860518943949,586.738307341333,3639,52,2943,3,1,0,2016,100,Aurora,MIDDLE,289.3813832750812,514.8442826819823,6.885725237935336,542.1108892307598,3106,62,4636,1,1,1,3612,100,Jinx,BOTTOM,311.87681865236596,347.8662075477941,6.663732143196095,436.12249545763865,3308,60,3132,1,1,3,3222,100,Milio,UTILITY,279.23529423950833,312.98615888987,1.6657268485215544,434.63876204535876,3014,15,2818,2,1,3,2423,200,Garen,TOP,361.7657172274068,514.2470978396,6.663885905122894,544.9304253494666,3757,60,4630,3,1,0,6030,200,Zac,JUNGLE,278.1396078749421,291.60336141623503,4.998815222921625,577.0193480218554,3004,45,2625,0,1,3,1710,200,Yasuo,MIDDLE,331.7607236731965,514.0127327341153,9.107561877837462,542.8106076563981,3487,82,4628,1,1,0,4299,200,Ezreal,BOTTOM,334.32788122571316,334.7424645066557,6.996891858330678,453.297727274859,3510,63,3014,2,2,1,4839,200,Brand,UTILITY,239.36496225367853,223.1555356711478,1.1107687749308202,554.293100997245,2655,10,2009,1,3,2,3416,8,7,7,8,1,8,7,1,0,0,0,0,0,0,-122,1057
1,NA1_5501102891,100,Olaf,TOP,235.24887204828954,328.31011577342827,5.109014482821905,590.5432549938214,2618,46,2956,1,3,0,1661,100,MasterYi,JUNGLE,285.88619796340026,356.8530663267591,6.55298110192863,645.0803215566361,3074,59,3213,1,2,1,1450,100,Ahri,MIDDLE,315.4102197931295,476.59043383768795,9.107607829729453,349.68121715697083,3340,82,4291,1,0,0,2851,100,Aphelios,BOTTOM,362.10666868459845,298.7724994669446,7.219544105199658,494.79249999485245,3760,65,2690,2,0,2,5701,100,Lulu,UTILITY,263.0217340689764,313.99126556133535,1.5549059768530815,351.5538999763017,2868,14,2827,1,0,3,2694,200,AurelionSol,TOP,359.29961628649016,489.1254955545347,7.55235593671079,289.79425245687077,3735,68,4404,3,1,1,3881,200,Kayn,JUNGLE,317.5449745412193,357.4020246880254,6.219747731552034,702.9945558384059,3359,56,3218,0,1,3,2173,200,Lux,MIDDLE,337.6304391021579,510.44193375327865,9.88445880713055,309.288856014292,3540,89,4596,1,0,0,3208,200,Corki,BOTTOM,252.6728250102053,262.6590532351713,5.664090525710151,556.6385922698319,2775,51,2365,1,2,0,3081,200,Janna,UTILITY,207.81100969120166,294.31974147029257,2.443820752860586,436.46765141947554,2371,22,2650,0,2,1,2558,6,5,5,6,1,6,5,1,1,0,2,0,2,0,-120,-1256
0,NA1_5456356938,100,Swain,TOP,215.701514799022,361.9818093831891,4.99832539672695,449.84127474904363,2442,45,3259,0,3,1,1559,100,JarvanIV,JUNGLE,450.3100064126597,385.69258581438385,6.332039336890233,800.2886394726124,4554,57,3472,4,1,4,3729,100,Vex,MIDDLE,302.3495670433897,456.9591538200583,7.88606937334019,284.3549313521146,3222,71,4114,1,0,2,3160,100,Samira,BOTTOM,343.1720717785541,395.1053962889489,7.997759132291009,345.3672546971195,3590,72,3557,1,2,3,3279,100,Pyke,UTILITY,329.74127732067114,234.28767659610847,1.6657697940094007,328.452112107086,3469,15,2110,3,2,3,2582,200,Yasuo,TOP,393.2235251314881,506.1771140394768,8.219602612208371,462.52517709843164,4040,74,4557,3,1,0,3957,200,Udyr,JUNGLE,294.13344126841656,312.46247822987544,5.775653600575293,919.8594187845104,3148,52,2813,1,3,2,2384,200,Taliyah,MIDDLE,264.2159053618195,450.6948721855583,8.21844129910034,378.6949447332506,2879,74,4058,0,1,0,1470,200,Kaisa,BOTTOM,366.39248653301803,285.3324894964389,6.44226704463034,405.6405792460352,3799,58,2569,4,2,1,4049,200,Rakan,UTILITY,203.01356777953504,240.89059050457203,0.7775574899973356,457.17359103002735,2328,7,2169,0,2,3,1602,9,8,8,9,1,9,8,1,0,0,0,0,1,-1,1083,346
0,NA1_5459595882,100,Zaahen,TOP,246.91210709239215,466.73135393740915,6.997598031725943,759.452990935971,2723,63,4202,0,1,1,4563,100,Hecarim,JUNGLE,444.62874961263424,440.3734764238509,8.329763787911888,813.4474610923868,4503,75,3965,3,1,1,4982,100,Syndra,MIDDLE,316.08702244006173,441.37634943109293,7.553011050560408,490.2385338707429,3346,68,3974,1,2,2,3265,100,Jhin,BOTTOM,285.35648557360463,328.2375717131274,7.775383106473591,612.8561983654531,3069,70,2955,0,3,1,2016,100,Karma,UTILITY,286.0142627505973,234.03254318571908,1.3330446479299942,519.6823056546755,3075,12,2107,2,2,3,3384,200,Tryndamere,TOP,308.3134179770657,498.38872856191796,7.664444008895736,709.4319690815838,3276,69,4487,1,1,0,6886,200,Nunu,JUNGLE,318.0222946033028,324.3711646174332,6.220948522160357,667.0212895980935,3363,56,2920,1,1,2,2512,200,Zeri,MIDDLE,344.8948529551909,442.9538428810556,7.66427731237932,537.1015739095646,3605,69,3988,2,1,1,5170,200,Twitch,BOTTOM,421.8215052369057,386.6339910530147,6.775307352274645,513.2911061554787,4298,61,3481,5,2,0,6078,200,Nami,UTILITY,236.46903322295373,242.45876794921378,1.444083459982989,368.8024797187143,2629,13,2183,0,1,4,1674,6,9,9,6,-3,6,9,-3,0,1,0,0,1,-1,-455,144
1,NA1_5503934744,100,Fiora,TOP,274.0923213279986,525.6402740920157,6.330222253946752,690.2579800645178,2968,57,4733,1,1,0,6083,100,Volibear,JUNGLE,351.50248181625983,385.9643946121139,6.663986756459633,604.3993917580423,3665,60,3475,1,0,4,4631,100,Ahri,MIDDLE,310.5295947873937,494.88777338137777,8.329380087641109,395.9248389992762,3296,75,4456,1,1,0,5178,100,Xayah,BOTTOM,410.90466160806085,346.0607325132493,7.663416431248509,365.40476127065443,4200,69,3116,4,2,2,3939,100,Aatrox,UTILITY,266.6651427354389,308.74015010459266,1.9991078799734627,460.55817285315,2901,18,2780,1,1,3,3665,200,Illaoi,TOP,351.97401838734174,517.5554452287985,8.773785633358843,878.508030172668,3669,79,4660,1,1,0,4064,200,Diana,JUNGLE,253.77167941315034,318.409561390554,6.219283260661429,461.6074349527545,2785,56,2867,0,0,0,1278,200,Yone,MIDDLE,277.7617237489052,516.3115403689228,7.219073985596576,711.3710844136945,3001,65,4649,1,1,0,3337,200,Kaisa,BOTTOM,313.7489125892559,322.08408640471043,5.775153407605799,505.9872522273615,3325,52,2900,2,3,1,4318,200,Blitzcrank,UTILITY,243.5530961531107,242.78601674430107,1.2216614648427537,612.9293900524713,2693,11,2186,1,3,2,2180,8,5,5,8,3,8,5,3,1,1,0,0,0,0,1557,1298
1,NA1_5510629174,100,Urgot,TOP,313.3941713054532,527.4698560258272,7.109835504880923,697.7760941222094,3321,64,4748,2,3,0,6862,100,Brand,JUNGLE,357.16248192779665,432.80676412343007,8.331693019201701,426.02604538977766,3715,75,3896,1,0,2,1598,100,Naafiri,MIDDLE,332.05935689138033,586.0123242565977,8.220833685025195,467.5882479062674,3489,74,5275,2,1,0,4204,100,Ashe,BOTTOM,350.4979847032785,297.15964404274996,5.6653374010657345,368.5946089662186,3655,51,2675,3,2,0,6286,100,Braum,UTILITY,184.0771771432253,294.9400429742109,1.444150067730037,459.02231760045953,2157,13,2655,0,2,1,2567,200,Sett,TOP,273.3912859266507,417.5805607324702,5.88769105370692,783.4250597801321,2961,53,3759,1,2,1,4612,200,DrMundo,JUNGLE,370.15210204770284,472.36159297545936,7.4429985143128725,668.5511046590809,3832,67,4252,2,0,1,1752,200,Syndra,MIDDLE,278.6139668026044,470.2424230776891,6.887455929524997,461.61074864836195,3008,62,4233,1,2,0,2412,200,TahmKench,BOTTOM,319.27658273538873,327.3783651503814,6.109731841164059,783.9516900623961,3374,55,2947,2,3,2,3294,200,Senna,UTILITY,296.16497205127064,291.49435694286353,1.555190846664462,543.4798003388046,3166,14,2624,2,1,2,3310,8,8,8,8,0,8,8,0,0,0,0,0,1,-1,-4,1434
1,NA1_5508530191,100,DrMundo,TOP,276.7909681052172,511.9695597561332,7.99751798249687,799.4742827136376,2992,72,4609,0,1,0,3116,100,Briar,JUNGLE,434.86199397348093,425.78754426444124,7.442720831808144,546.0751367393594,4415,67,3833,3,1,1,3093,100,Kassadin,MIDDLE,367.75905208698566,496.36137829504383,5.664690117033633,492.2688603385151,3811,51,4469,2,0,2,2188,100,Smolder,BOTTOM,291.00899728330484,321.91128152806664,8.55331946308498,414.4361265993321,3120,77,2898,0,1,1,3929,100,Lulu,UTILITY,175.59910210005606,290.92900801339533,1.4441593348537463,282.71523579601273,2081,13,2619,0,1,1,1355,200,Galio,TOP,311.68021815493586,533.7218731863509,7.997466223111592,615.8710994004039,3306,72,4805,1,1,1,5428,200,Shen,JUNGLE,338.3171243725667,420.4445825392299,7.3316319373652545,521.5489025906891,3546,66,3785,1,0,2,2009,200,Yasuo,MIDDLE,334.88142749865926,456.9295576023482,8.10812040932695,699.583819091655,3515,73,4114,1,4,0,4533,200,Zeri,BOTTOM,287.13106424661936,293.03034905694,7.665059687587206,466.3204458973674,3085,69,2638,0,1,3,4379,200,Yuumi,UTILITY,214.22654737571048,268.92285407007694,0.8886297190412522,114.49744155350774,2429,8,2421,1,0,2,824,5,4,4,6,1,5,4,1,1,0,0,0,0,0,538,665
0,NA1_5510455861,100,Kled,TOP,182.14953986955913,414.0428409014991,4.1096731294231255,652.7495827583651,2140,37,3728,0,1,0,1435,100,MasterYi,JUNGLE,222.00649833087112,248.8795006769061,4.775190907249196,606.9108960309242,2499,43,2241,0,1,0,274,100,Katarina,MIDDLE,455.46657923790576,501.10244238044675,6.996626374699407,404.4985730996915,4601,63,4512,6,0,1,5157,100,MissFortune,BOTTOM,259.4565870852358,377.8366123668645,6.330747983195033,274.4776869820848,2836,57,3402,0,1,4,3288,100,Alistar,UTILITY,225.03432295744537,309.5416078824142,1.1105763660730532,546.2505111669193,2526,10,2787,1,1,3,1833,200,Yasuo,TOP,322.1953106500244,556.5311924434675,8.44084844261376,281.54593545349115,3401,76,5011,1,0,0,5285,200,Camille,JUNGLE,272.2304667617107,326.43608684216423,5.330942377003504,551.4592620732559,2951,48,2939,1,1,0,576,200,Swain,MIDDLE,187.37376732867244,428.0610355900742,4.554074828455208,379.69886325450284,2187,41,3854,0,2,0,1181,200,Ashe,BOTTOM,241.78300430200488,303.4222232246832,5.219970041546278,415.0832323479685,2677,47,2732,1,2,0,2751,200,TahmKench,UTILITY,192.91732468006552,260.661632739125,1.5548060249072124,460.5041012702667,2237,14,2347,0,2,1,2197,7,3,4,7,4,7,3,4,1,0,0,0,1,-1,1149,-213
1,NA1_5481841565,100,Aatrox,TOP,343.15414841837287,545.0445110917677,8.106676590744781,433.77675638249275,3590,73,4908,2,0,1,2067,100,DrMundo,JUNGLE,281.396879460654,310.9293115633179,5.329752219911929,786.7213112683162,3034,48,2800,0,2,4,2547,100,Ryze,MIDDLE,282.30571259673604,477.9879158185033,7.884951640873748,478.92282736915956,3042,71,4304,1,1,0,1776,100,Zeri,BOTTOM,390.57978642899536,334.2727403866358,9.661787867531956,341.964448288242,4017,87,3010,2,0,1,2765,100,Nami,UTILITY,233.5605888277362,294.05252917497415,1.44388009479527,327.21045849307467,2603,13,2648,1,0,2,2259,200,Gangplank,TOP,272.2026937645654,486.20878360002905,7.885308430868026,267.900050586139,2951,71,4378,0,1,0,2604,200,Diana,JUNGLE,340.14911162805595,450.98460415409664,8.43979721147052,446.64967405842106,3563,76,4061,1,1,0,2122,200,Varus,MIDDLE,367.58799388468634,555.6098551458501,8.551004571743842,447.7912258593099,3810,77,5003,2,0,1,5640,200,Mel,BOTTOM,271.7556557627629,367.4891539402977,8.551555347299956,405.89269800213106,2947,77,3309,0,2,0,3032,200,Sona,UTILITY,181.13186758145864,244.0743905618153,1.3326708902925153,469.5032059426711,2131,12,2198,0,2,0,2510,6,3,3,6,3,6,3,3,1,2,1,0,0,1,884,-1279
0,NA1_5506236352,100,Kassadin,TOP,239.7782962278119,499.8631733369758,4.1090702994448165,410.73772754877086,2659,37,4501,1,0,1,3152,100,MonkeyKing,JUNGLE,322.4074352805027,409.25847301371334,7.663058488835085,578.2982964468472,3403,69,3685,1,1,0,1731,100,Katarina,MIDDLE,279.76271818125446,488.56034969384706,7.219078292913634,518.0959670085954,3019,65,4399,1,1,0,3262,100,Varus,BOTTOM,308.10280997018816,375.28419491774065,8.885465179427719,176.69982520535947,3274,80,3379,0,0,1,4397,100,Sona,UTILITY,216.5846356826485,280.88255567964404,0.7775297258848046,292.9939226445047,2450,7,2529,1,1,0,2780,200,Camille,TOP,275.42665443158296,501.53571587371556,8.662577040214144,590.6737801642619,2980,78,4516,0,2,0,2886,200,Jax,JUNGLE,369.48494847340885,386.9246058925237,6.885384387673844,669.2897179432969,3827,62,3484,2,0,1,3036,200,Ahri,MIDDLE,294.5305719282412,471.2154272461113,8.107413865509235,448.1293578829284,3152,73,4243,0,1,2,4258,200,Caitlyn,BOTTOM,267.0908445807729,275.1879634489395,6.218669660951054,393.8330056992848,2905,56,2478,1,1,0,1846,200,Alistar,UTILITY,191.79742214617474,264.19560408352095,1.4435563138879912,477.14419862045946,2227,13,2379,0,0,2,762,4,3,3,4,1,4,3,1,0,0,0,2,1,-1,-286,1393
1,NA1_5509597036,100,Quinn,TOP,266.67831626397685,474.05514933081304,7.885687862835732,453.77467112029143,2901,71,4268,0,1,0,3876,100,Vi,JUNGLE,447.95750416384254,481.5643238036342,9.440092921572663,429.9377321023071,4533,85,4336,3,0,2,2733,100,Ryze,MIDDLE,243.35054643738945,450.4869655133814,6.775026315102716,428.4740513957248,2691,61,4056,0,1,1,2442,100,Caitlyn,BOTTOM,410.6482190747935,377.4254826260284,9.329682607978947,393.59687696650485,4197,84,3398,2,1,3,4463,100,Thresh,UTILITY,249.71069728909055,323.65623870663535,1.999324612254207,210.05528367733086,2748,18,2914,1,0,4,2005,200,Vladimir,TOP,277.0018044159351,496.91622882256604,8.996173828835248,454.06485313337373,2994,81,4474,0,0,0,1887,200,Jayce,JUNGLE,313.7748581423546,375.183578129939,6.219491384027562,710.1105826999923,3325,56,3378,1,2,1,1767,200,Fizz,MIDDLE,362.1136415138757,510.7399228432826,9.330698176265615,316.9455566308046,3760,84,4598,1,0,1,4142,200,Sivir,BOTTOM,296.12179091895473,324.2100329197592,8.10810255327307,431.4691775990402,3166,73,2919,0,2,1,1602,200,Karma,UTILITY,214.82830308251425,281.4472840122944,1.4439984577910758,487.90198611571526,2434,13,2534,1,2,0,2381,6,3,3,6,3,6,3,3,0,1,0,0,0,0,1391,1069
